SampleID,CoNS Staphylococcus spp.,OtherTaxa_NotStaph,Staphylococcus aureus,Staphylococcus caprae or S. capitis,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus hominis,Staphylococcus lugdunensis,Staphylococcus pasteuri,Staphylococcus pettenkoferi,Staphylococcus warneri
LK16S009-129,0,1,0,0,0,0,0,0,0,0,0
LK16S009-130,4.03502E-05,0.005921398,0,0.002340314,0.001028931,0,0,0.990669007,0,0,0
LK16S009-131,0.005541498,0.834539474,0,0.06520749,0.063992915,0,0.02659413,0,0.004124494,0,0
LK16S009-132,0.001807384,0.024154847,0,0.057676042,0.097064558,0,0,0.819110197,0.000186971,0,0
LK16S009-133,0.059303998,0.171124533,0.005004314,0,0.015012942,0.030313489,0.0135174,0,0,0.705723325,0
LK16S009-134,0.007922173,0.002583566,0,0.116203301,0.389055284,0,0,0.484235676,0,0,0
LK16S009-135,0,0.946246113,0,0,0.053753887,0,0,0,0,0,0
LK16S009-136,0.031,0.829,0,0,0.14,0,0,0,0,0,0
LK16S009-137,0,0.947126437,0,0,0.052873563,0,0,0,0,0,0
LK16S009-138,2.12086E-05,0.002142069,0,0.000855414,0.000982665,0,0,0.995998643,0,0,0
LK16S009-139,0,0.890762206,0,0.016157359,0.09027046,0,0,0,0.002809975,0,0
LK16S009-140,0.002111461,0.006134561,0,0.063949964,0.117942091,0,0,0.809861922,0,0,0
LK16S009-141,0,0.986580287,0,0,0,0,0.013419713,0,0,0,0
LK16S009-142,0,0.990946502,0,0,0,0,0.009053498,0,0,0,0
LK16S009-143,0,1,0,0,0,0,0,0,0,0,0
LK16S009-144,0,0.907053395,0,0.092946605,0,0,0,0,0,0,0
LK16S009-145,0,0.838565022,0,0,0.161434978,0,0,0,0,0,0
LK16S009-146,0,0.742138365,0,0.089727463,0.168134172,0,0,0,0,0,0
LK16S009-147,0,0.956868158,0,0,0.03368821,0,0.006669309,0,0.002774323,0,0
LK16S009-148,0.002598066,0.957553821,0,0.001632118,0.027601674,0,0,0.00296446,0.007649861,0,0
LK16S009-149,0.00137676,0.982692156,0,0,0.006175753,0,0,0.005880733,0.003874597,0,0
LK16S009-150,0.035805627,0.841432225,0,0,0.046035806,0,0,0.076726343,0,0,0
LK16S009-151,0,1,0,0,0,0,0,0,0,0,0
LK16S009-152,0.081165453,0.368886576,0,0,0.014568158,0,0,0,0,0.535379813,0
LK16S009-153,0,0.900983815,0.00761663,0.032688036,0.05871152,0,0,0,0,0,0
LK16S009-154,0,0.861111111,0,0,0,0,0.138888889,0,0,0,0
LK16S009-155,0.003107345,0.746327684,0,0,0.18559322,0,0.039830508,0.025141243,0,0,0
LK16S009-156,0,0.922830612,0,0,0.025936599,0,0,0.020493116,0.030739673,0,0
LK16S009-157,0.002718623,0.997281377,0,0,0,0,0,0,0,0,0
LK16S009-158,0,1,0,0,0,0,0,0,0,0,0
LK16S009-159,0,1,0,0,0,0,0,0,0,0,0
LK16S009-160,0,1,0,0,0,0,0,0,0,0,0
LK16S009-161,0,0.979047511,0,0,0.009626819,0,0,0.005606206,0.005719463,0,0
LK16S009-162,0,1,0,0,0,0,0,0,0,0,0
LK16S009-163,0,0.985501695,0,0,0.009774297,0,0,0.001886766,0.002837242,0,0
LK16S009-164,0.002172474,0.988798181,0,0,0.003750912,0,0.001646328,0,0.003632105,0,0
LK16S009-165,0.007071302,0.933411903,0,0.04655274,0,0,0.012964054,0,0,0,0
LK16S009-166,0,0.956496293,0,0.035895435,0.006671869,0,0,0.000936403,0,0,0
LK16S009-167,0,0.926893003,0,0.003180327,0.042438115,0.016286513,0.010533566,0,0,0.000668476,0
LK16S009-168,0.011572773,0.79592231,0,0.027342652,0.099132481,0.005812728,0.006725906,0.008306406,0,0.045184743,0
LK16S009-169,0.055947854,0.944052146,0,0,0,0,0,0,0,0,0
LK16S009-170,0,1,0,0,0,0,0,0,0,0,0
LK16S009-171,0,0.985700483,0,0,0,0,0,0,0.014299517,0,0
LK16S009-172,0,1,0,0,0,0,0,0,0,0,0
LK16S009-173,0,1,0,0,0,0,0,0,0,0,0
LK16S009-174,0,0.96309087,0,0.03690913,0,0,0,0,0,0,0
LK16S009-175,0.03043022,0.345750262,0,0,0.040398741,0,0,0,0,0.583420776,0
LK16S009-176,0,0.982507289,0,0.017492711,0,0,0,0,0,0,0
LK16S009-177,0,0.976688103,0,0,0.023311897,0,0,0,0,0,0
LK16S009-178,0,1,0,0,0,0,0,0,0,0,0
LK16S009-179,0,0.979469399,0,0.001129767,0.018660641,0.000740192,0,0,0,0,0
LK16S009-180,0.023750751,0.696777637,0,0,0.009640403,0.017612916,0,0,0,0.252218293,0
LK16S009-185,0,1,0,0,0,0,0,0,0,0,0
LK16S009-186,0,1,0,0,0,0,0,0,0,0,0
LK16S009-187,0,1,0,0,0,0,0,0,0,0,0
LK16S009-188,0,1,0,0,0,0,0,0,0,0,0
LK16S011-001,0,0.702348674,0,0,0.001584563,0,0.296066763,0,0,0,0
LK16S011-002,0,0.799346287,0,0.061194843,0.054839295,0,0.084619575,0,0,0,0
LK16S011-003,0,0.93405458,0,0,0.061083085,0,0.004862335,0,0,0,0
LK16S011-004,0.000425125,0.845201403,0,0.006536295,0.105643533,0.003082155,0.037410989,0,0,0.0017005,0
LK16S011-005,0,0.905828349,0,0,0.09111142,0,0.003060231,0,0,0,0
LK16S011-006,0,1,0,0,0,0,0,0,0,0,0
LK16S011-007,0,0.850563811,0,0,0.149436189,0,0,0,0,0,0
LK16S011-008,0,0.860343017,0,0,0.08260413,0.022051103,0.03500175,0,0,0,0
LK16S011-009,0,0.112493013,0,0,0.001641979,0.005275293,0.880589715,0,0,0,0
LK16S011-010,0,0.439935065,0,0.279220779,0.230519481,0,0.050324675,0,0,0,0
LK16S011-011,0,0.972796143,0,0,0.027203857,0,0,0,0,0,0
LK16S011-012,0,0.357692308,0,0,0.642307692,0,0,0,0,0,0
LK16S011-013,0,0.802566634,0,0,0.197433366,0,0,0,0,0,0
LK16S011-014,0,1,0,0,0,0,0,0,0,0,0
LK16S011-015,0,0.893975904,0,0,0.106024096,0,0,0,0,0,0
LK16S011-016,0,1,0,0,0,0,0,0,0,0,0
LK16S011-017,0,0.16200648,0,0,0.83799352,0,0,0,0,0,0
LK16S011-018,0,0.883530015,0,0,0.100051308,0,0.016418676,0,0,0,0
LK16S011-019,0,0.177893395,0,0,0.820004824,0,0.002101781,0,0,0,0
LK16S011-020,0,0.953068592,0,0,0.019494585,0,0.027436823,0,0,0,0
