WellPosition,MiniGroup,SampleName,Subject,BodySite,Live.v.HeatKilled,Concentration,Group,PMAXX,PmaxxGroup,CT,CtMean,CtSD,Quantity,QuantityMean,QuantitySD,pSampleName,PmaxxGroup,pCT,pCtMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBact,TotalMtanBac,ViableBact,ViableMeanBac,PercentLive,MeanPercent
F10,1FK,1FK,1,Forearm,Heatkilled,25,ForearmHeatkilled25,Untreated,ForearmHeatkilled25Untreated,25.73828316,25.705248,0.060570426,0.270567414,0.277873857,0.013771804,1FKp,ForearmHeatkilled25PMAxx,28.23043442,28.261133,0.026594803,0.036247339,0.035360829,0.005733623,2.555885,811.702242,833.621571,108.742017,106.082487,0.133967866,0.127254969
E8,1U,1U,1,Umbillicus,Live,25,UmbillicusLive25,Untreated,UmbillicusLive25Untreated,25.51973724,25.460825,0.065741286,0.322724559,0.338430072,0.018081866,1Up,UmbillicusLive25PMAxx,25.68604469,25.684351,0.0485899,0.28221143,0.282597229,0.011090514,0.223526,968.173677,1015.290216,846.63429,847.791687,0.874465305,0.83502399
E9,1U,1U,1,Umbillicus,Live,25,UmbillicusLive25,Untreated,UmbillicusLive25Untreated,25.38990974,25.460825,0.065741286,0.358352571,0.338430072,0.018081866,1Up,UmbillicusLive25PMAxx,25.73207283,25.684351,0.0485899,0.271926144,0.282597229,0.011090514,0.223526,1075.057713,1015.290216,815.778432,847.791687,0.758822919,0.83502399
E10,1U,1U,1,Umbillicus,Live,25,UmbillicusLive25,Untreated,UmbillicusLive25Untreated,25.47283363,25.460825,0.065741286,0.33516783,0.338430072,0.018081866,1Up,UmbillicusLive25PMAxx,25.63493729,25.684351,0.0485899,0.294088131,0.282597229,0.011090514,0.223526,1005.50349,1015.290216,882.264393,847.791687,0.877435436,0.83502399
H8,1UK,1UK,1,Umbillicus,Heatkilled,25,UmbillicusHeatkilled25,Untreated,UmbillicusHeatkilled25Untreated,25.14478493,25.098335,0.06926797,0.436694405,0.45336607,0.025735373,1UKp,UmbillicusHeatkilled25PMAxx,28.04743958,28.099352,0.044983182,0.042012559,0.040289719,0.010293355,3.001017,1310.083215,1360.09821,126.037677,120.869157,0.096205856,0.088867963
H9,1UK,1UK,1,Umbillicus,Heatkilled,25,UmbillicusHeatkilled25,Untreated,UmbillicusHeatkilled25Untreated,25.13150215,25.098335,0.06926797,0.44139822,0.45336607,0.025735373,1UKp,UmbillicusHeatkilled25PMAxx,28.12680054,28.099352,0.044983182,0.039407513,0.040289719,0.010293355,3.001017,1324.19466,1360.09821,118.222539,120.869157,0.089278822,0.088867963
H10,1UK,1UK,1,Umbillicus,Heatkilled,25,UmbillicusHeatkilled25,Untreated,UmbillicusHeatkilled25Untreated,25.01872063,25.098335,0.06926797,0.483434777,0.45336607,0.025735373,1UKp,UmbillicusHeatkilled25PMAxx,28.12381935,28.099352,0.044983182,0.039502387,0.040289719,0.010293355,3.001017,1450.304331,1360.09821,118.507161,120.869157,0.081711927,0.088867963
J8,2B,2B,2,Back,Live,25,BackLive25,Untreated,BackLive25Untreated,20.2479744,20.601355,0.4273176,22.67398933,17.0505694,5.607019,2Bp,BackLive25PMAxx,20.74788094,20.841928,0.12337194,15.14994038,14.04320655,1.3665962,0.240573,68021.96799,51151.7082,45449.82114,42129.61965,0.668163867,0.823620972
J9,2B,2B,2,Back,Live,25,BackLive25,Untreated,BackLive25Untreated,21.07627678,20.601355,0.4273176,11.62449305,17.0505694,5.607019,2Bp,BackLive25PMAxx,20.98161888,20.841928,0.12337194,12.54679023,14.04320655,1.3665962,0.240573,34873.47915,51151.7082,37640.37069,42129.61965,1.079340852,0.823620972
J10,2B,2B,2,Back,Live,25,BackLive25,Untreated,BackLive25Untreated,20.47981453,20.601355,0.4273176,18.8067804,17.0505694,5.607019,2Bp,BackLive25PMAxx,20.79628944,20.841928,0.12337194,14.5697952,14.04320655,1.3665962,0.240573,56420.3412,51151.7082,43709.3856,42129.61965,0.7747097,0.823620972
M8,2BK,2BK,2,Back,Heatkilled,25,BackHeatkilled25,Untreated,BackHeatkilled25Untreated,20.59746552,20.698221,0.08824957,17.10414507,15.76909519,1.1442419,2BKp,BackHeatkilled25PMAxx,23.34941101,23.810274,0.41670907,1.858216121,1.281315695,0.46716774,3.112053,51312.43521,47307.28557,5574.648363,3843.947085,0.108641275,0.081254865
M9,2BK,2BK,2,Back,Heatkilled,25,BackHeatkilled25,Untreated,BackHeatkilled25Untreated,20.73540497,20.698221,0.08824957,15.30316458,15.76909519,1.1442419,2BKp,BackHeatkilled25PMAxx,24.16049767,23.810274,0.41670907,0.965990753,1.281315695,0.46716774,3.112053,45909.49374,47307.28557,2897.972259,3843.947085,0.063123594,0.081254865
M10,2BK,2BK,2,Back,Heatkilled,25,BackHeatkilled25,Untreated,BackHeatkilled25Untreated,20.76179504,20.698221,0.08824957,14.98086252,15.76909519,1.1442419,2BKp,BackHeatkilled25PMAxx,23.9209156,23.810274,0.41670907,1.171921298,1.281315695,0.46716774,3.112053,44942.58756,47307.28557,3515.763894,3843.947085,0.078227892,0.081254865
I8,2F,2F,2,Forearm,Live,25,ForearmLive25,Untreated,ForearmLive25Untreated,23.84443665,23.977259,0.12239659,1.246490544,1.119853942,0.11234985,2Fp,ForearmLive25PMAxx,24.34151077,24.411688,0.060958598,0.834764875,0.788825822,0.017559251,0.434429,3739.471632,3359.561826,2504.294625,2366.477466,0.669692104,0.70440063
I9,2F,2F,2,Forearm,Live,25,ForearmLive25,Untreated,ForearmLive25Untreated,24.0854969,23.977259,0.12239659,1.026232346,1.119853942,0.11234985,2Fp,ForearmLive25PMAxx,24.44205856,24.411688,0.060958598,0.769736934,0.788825822,0.017559251,0.434429,3078.697038,3359.561826,2309.210802,2366.477466,0.750061072,0.70440063
I10,2F,2F,2,Forearm,Live,25,ForearmLive25,Untreated,ForearmLive25Untreated,24.00184822,23.977259,0.12239659,1.097862096,1.119853942,0.11234985,2Fp,ForearmLive25PMAxx,24.45149612,24.411688,0.060958598,0.763899723,0.788825822,0.017559251,0.434429,3293.586288,3359.561826,2291.699169,2366.477466,0.695806628,0.70440063
L8,2FK,2FK,2,Forearm,Heatkilled,25,ForearmHeatkilled25,Untreated,ForearmHeatkilled25Untreated,23.59029198,23.784071,0.19094223,1.530085643,1.308684757,0.20325893,2FKp,ForearmHeatkilled25PMAxx,26.88350639,26.823623,0.06657124,0.107424751,0.112740895,0.014811344,3.039552,4590.256929,3926.054271,322.274253,338.222685,0.070208326,0.086148245
L9,2FK,2FK,2,Forearm,Heatkilled,25,ForearmHeatkilled25,Untreated,ForearmHeatkilled25Untreated,23.97204399,23.784071,0.19094223,1.124574413,1.308684757,0.20325893,2FKp,ForearmHeatkilled25PMAxx,26.76519413,26.823623,0.06657124,0.118181387,0.112740895,0.014811344,3.039552,3373.723239,3926.054271,354.544161,338.222685,0.105089877,0.086148245
L10,2FK,2FK,2,Forearm,Heatkilled,25,ForearmHeatkilled25,Untreated,ForearmHeatkilled25Untreated,23.78987694,23.784071,0.19094223,1.302570466,1.308684757,0.20325893,2FKp,ForearmHeatkilled25PMAxx,26.83542023,26.823623,0.06657124,0.111673189,0.112740895,0.014811344,3.039552,3907.711398,3926.054271,335.019567,338.222685,0.085732935,0.086148245
K8,2U,2U,2,Umbillicus,Live,25,UmbillicusLive25,Untreated,UmbillicusLive25Untreated,22.35778618,22.336786,0.2113618,4.1348705,4.205506075,0.7303017,2Up,UmbillicusLive25PMAxx,23.63783836,23.56016,0.08647493,1.47251682,1.567728872,0.11044848,1.223374,12404.6115,12616.51823,4417.55046,4703.186616,0.356121629,0.372780075
K9,2U,2U,2,Umbillicus,Live,25,UmbillicusLive25,Untreated,UmbillicusLive25Untreated,22.53686523,22.336786,0.2113618,3.578743792,4.205506075,0.7303017,2Up,UmbillicusLive25PMAxx,23.4669838,23.56016,0.08647493,1.690092736,1.567728872,0.11044848,1.223374,10736.23138,12616.51823,5070.278208,4703.186616,0.472258657,0.372780075
K10,2U,2U,2,Umbillicus,Live,25,UmbillicusLive25,Untreated,UmbillicusLive25Untreated,22.1157093,22.336786,0.2113618,5.026449478,4.205506075,0.7303017,2Up,UmbillicusLive25PMAxx,23.57565498,23.56016,0.08647493,1.548257069,1.567728872,0.11044848,1.223374,15079.34843,12616.51823,4644.771207,4703.186616,0.30802201,0.372780075
N8,2UK,2UK,2,Umbillicus,Heatkilled,25,UmbillicusHeatkilled25,Untreated,UmbillicusHeatkilled25Untreated,18.23165703,18.114458,0.2889528,115.303613,126.7353234,31.583298,2UKp,UmbillicusHeatkilled25PMAxx,24.08331108,24.042763,0.03780073,1.028043263,1.062222176,0.032273356,5.928305,345910.839,380205.9702,3084.129789,3186.666528,0.008915967,0.008381422
N9,2UK,2UK,2,Umbillicus,Heatkilled,25,UmbillicusHeatkilled25,Untreated,UmbillicusHeatkilled25Untreated,18.32639885,18.114458,0.2889528,106.8205728,126.7353234,31.583298,2UKp,UmbillicusHeatkilled25PMAxx,24.00849724,24.042763,0.03780073,1.091989955,1.062222176,0.032273356,5.928305,320461.7184,380205.9702,3275.969865,3186.666528,0.010222656,0.008381422
N10,2UK,2UK,2,Umbillicus,Heatkilled,25,UmbillicusHeatkilled25,Untreated,UmbillicusHeatkilled25Untreated,17.78531837,18.114458,0.2889528,165.2704181,126.7353234,31.583298,2UKp,UmbillicusHeatkilled25PMAxx,24.03647804,24.042763,0.03780073,1.06762069,1.062222176,0.032273356,5.928305,495811.2543,380205.9702,3202.86207,3186.666528,0.006459841,0.008381422
D16,3B,3B,3,Back,Live,10,BackLive10,Untreated,BackLive10Untreated,24.56629944,24.577642,0.0892699,0.696339142,0.689997496,0.049400058,3Bp,BackLive10PMAxx,24.64622688,24.661995,0.14049199,0.652863312,0.644612467,0.032384947,0.084353,2089.017426,2069.992488,1958.589936,1933.837401,0.93756515,0.934224357
D17,3B,3B,3,Back,Live,10,BackLive10,Untreated,BackLive10Untreated,24.49458313,24.577642,0.0892699,0.737807381,0.689997496,0.049400058,3Bp,BackLive10PMAxx,24.53005219,24.661995,0.14049199,0.716998428,0.644612467,0.032384947,0.084353,2213.422143,2069.992488,2150.995284,1933.837401,0.971796225,0.934224357
D18,3B,3B,3,Back,Live,10,BackLive10,Untreated,BackLive10Untreated,24.67203903,24.577642,0.0892699,0.639411262,0.689997496,0.049400058,3Bp,BackLive10PMAxx,24.80970573,24.661995,0.14049199,0.572210342,0.644612467,0.032384947,0.084353,1918.233786,2069.992488,1716.631026,1933.837401,0.894901882,0.934224357
G16,3BK,3BK,3,Back,Heatkilled,10,BackHeatkilled10,Untreated,BackHeatkilled10Untreated,23.88234138,23.784845,0.17582569,1.208957341,1.307867995,0.193702,3BKp,BackHeatkilled10PMAxx,25.8712368,25.540464,0.41483212,0.243053509,0.317374072,0.11624684,1.755619,3626.872023,3923.603985,729.160527,952.122216,0.201043908,0.242665218
G17,3BK,3BK,3,Back,Heatkilled,10,BackHeatkilled10,Untreated,BackHeatkilled10Untreated,23.89032555,23.784845,0.17582569,1.201196696,1.307867995,0.193702,3BKp,BackHeatkilled10PMAxx,25.07503128,25.540464,0.41483212,0.461968427,0.317374072,0.11624684,1.755619,3603.590088,3923.603985,1385.905281,952.122216,0.384590158,0.242665218
G18,3BK,3BK,3,Back,Heatkilled,10,BackHeatkilled10,Untreated,BackHeatkilled10Untreated,23.58187294,23.784845,0.17582569,1.540511428,1.307867995,0.193702,3BKp,BackHeatkilled10PMAxx,25.67512321,25.540464,0.41483212,0.28470847,0.317374072,0.11624684,1.755619,4621.534284,3923.603985,854.12541,952.122216,0.184814254,0.242665218
C16,3F,3F,3,Forearm,Live,10,ForearmLive10,Untreated,ForearmLive10Untreated,25.22104073,24.954401,0.49520016,0.410643789,0.509177287,0.23266925,3Fp,ForearmLive10PMAxx,25.39085159,25.375085,0.032447357,0.358080438,0.362663314,0.006925033,0.420684,1231.931367,1527.531861,1074.241314,1087.989942,0.871997696,0.712253518
C17,3F,3F,3,Forearm,Live,10,ForearmLive10,Untreated,ForearmLive10Untreated,24.38301849,24.954401,0.49520016,0.807279702,0.509177287,0.23266925,3Fp,ForearmLive10PMAxx,25.39663467,25.375085,0.032447357,0.356414025,0.362663314,0.006925033,0.420684,2421.839106,1527.531861,1069.242075,1087.989942,0.441500045,0.712253518
C18,3F,3F,3,Forearm,Live,10,ForearmLive10,Untreated,ForearmLive10Untreated,25.25914955,24.954401,0.49520016,0.398213295,0.509177287,0.23266925,3Fp,ForearmLive10PMAxx,25.33776627,25.375085,0.032447357,0.373745833,0.362663314,0.006925033,0.420684,1194.639885,1527.531861,1121.237499,1087.989942,0.938556893,0.712253518
